rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,longitude,latitude,website,phoneNumber,city,country,state,region,yearFounded,stateCode,collegeType,carnegieClassification,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
12,Rice University,TX,8005,Urban,148100,-95.369784,29.76045,http://www.rice.edu,713-348-0000,Houston,United States,Texas,South,1891,TX,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,8005,4421,27486883,70,60
13,Vanderbilt University,TN,13918,Urban,137300,-86.801456,36.150323,http://www.vanderbilt.edu,(615) 322-7311,Nashville,United States,Tennessee,South,1873,TN,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,13918,6998,47391010,67,62
14,Dartmouth College,NH,7171,Rural,161300,-72.289499,43.700465,http://www.dartmouth.edu,(603) 646-1110,Hanover,United States,New Hampshire,Northeast,1769,NH,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,7171,4885,27997693,58,45
15,Harvard University,MA,41024,Urban,169000,-71.112957,42.374699,http://www.harvard.edu,617-495-1000,Cambridge,United States,Massachusetts,Northeast,1636,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,41024,14431,54635593,72,57
16,Cornell University,NY,24594,Urban,148200,-76.48451,42.453558,http://www.cornell.edu,(607) 254-4636,Ithaca,United States,New York,Northeast,1865,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,24594,15396,70971547,59,47
17,"University of California, San Diego",CA,40547,Urban,143500,-117.237726,32.87271,http://www.ucsd.edu,(858) 534-2230,La Jolla,United States,California,West,1960,CA,Public,Doctoral Universities: Very High Research Activity,19,40547,32252,60461843,60,54
19,Brown University,RI,10807,Urban,153100,-71.449747,41.858184,http://www.brown.edu,401.863.1000,Providence,United States,Rhode Island,Northeast,1764,RI,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,10807,7553,36177528,55,44
20,University of Chicago,IL,20413,Urban,136600,-87.601242,41.790203,http://www.uchicago.edu,773-702-8650,Chicago,United States,Illinois,Midwest,1890,IL,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,20413,8204,40317227,57,52
21,University of Southern California,CA,52376,Urban,139100,-118.282761,34.019231,http://www.usc.edu,(213) 740-2311,Los Angeles,United States,California,West,1880,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,52376,21757,77361905,70,65
22,Georgetown University,DC,22720,Urban,156000,-77.028999,38.899101,http://www.georgetown.edu,202-687-0100,Washington,United States,District of Columbia,Northeast,1789,DC,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,22720,8330,31716749,54,44
23,"University of California, Davis",CA,41236,Suburban,134800,-121.747976,38.540631,http://www.ucdavis.edu,(530) 752-1011,Davis,United States,California,West,1908,CA,Public,Doctoral Universities: Very High Research Activity,20,41236,33181,72219528,74,66
24,Amherst College,MA,1940,Suburban,148700,-72.533204,42.370772,http://https://www.amherst.edu,413-542-2000,Amherst,United States,Massachusetts,Northeast,1821,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,1940,1940,15522081,65,57
25,"University of Michigan, Ann Arbor",MI,49530,Urban,129600,-83.748479,42.281875,http://www.umich.edu,(734) 764-1817,Ann Arbor,United States,Michigan,Midwest,1817,MI,Public,Doctoral Universities: Very High Research Activity,11,49530,32146,81552786,66,56
27,Washington University in St. Louis,MO,17893,Suburban,136000,-90.301291,38.647812,http://www.wustl.edu,(314) 935-5000,St. Louis,United States,Missouri,Midwest,1853,MO,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,17893,8909,39741443,54,46
28,"University of North Carolina, Chapel Hill",NC,32160,Urban,111000,-79.056619,35.914639,http://www.unc.edu,(919) 962-2211,Chapel Hill,United States,North Carolina,South,1789,NC,Public,Doctoral Universities: Very High Research Activity,13,32160,20215,31001894,64,43
29,University of Virginia,VA,29237,Suburban,137300,-78.581033,38.078711,http://www.virginia.edu,(434) 924-0211,Charlottesville,United States,Virginia,South,1819,VA,Public,Doctoral Universities: Very High Research Activity,15,29237,19253,34787367,60,39
30,"University of California, Irvine",CA,39059,Urban,137700,-117.825348,33.686887,http://www.uci.edu,949-824-5011,Irvine,United States,California,West,1965,CA,Public,Doctoral Universities: Very High Research Activity,18,39059,32111,83362561,74,73
31,Emory University,GA,15970,Urban,133400,-84.325741,33.789755,http://www.emory.edu,404-727-6123,Atlanta,United States,Georgia,South,1836,GA,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,15970,8006,34494686,58,53
32,Tufts University,MA,13458,Suburban,145300,-71.108759,42.419815,http://www.tufts.edu,617-628-5000,Medford,United States,Massachusetts,Northeast,1852,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,13458,6383,26409169,44,38
33,"University of Washington, Seattle",WA,56554,Urban,126800,-122.31312,47.656216,http://uw.edu,206-543-2100,Seattle,United States,Washington,West,1861,WA,Public,Doctoral Universities: Very High Research Activity,20,56554,39514,44865510,56,42
34,"University of Illinois, Urbana-Champaign",IL,57324,Urban,131200,-88.230238,40.109132,http://illinois.edu,217-333-0302,Champaign,United States,Illinois,Midwest,1867,IL,Public,Doctoral Universities: Very High Research Activity,20,57324,36277,68645780,70,59
35,Georgia Institute of Technology,GA,43217,Urban,149900,-84.394396,33.771317,http://www.gatech.edu,(404) 894-2000,Atlanta,United States,Georgia,South,1885,GA,Public,Doctoral Universities: Very High Research Activity,19,43217,17602,27952964,73,70
36,University of Notre Dame,IN,13268,Suburban,149600,-86.239189,41.700748,http://www.nd.edu,(574) 631-5000,Notre Dame,United States,Indiana,Midwest,1842,IN,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,13268,8925,50856461,68,56
37,Wellesley College,MA,2735,Suburban,122600,-71.300245,42.295986,http://www.wellesley.edu,(781) 283-1000,Wellesley,United States,Massachusetts,Northeast,1870,MA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,2735,2735,19422347,68,59
38,Swarthmore College,PA,1689,Suburban,147500,-75.35216,39.90655,http://www.swarthmore.edu,(610) 328-8300,Swarthmore,United States,Pennsylvania,Northeast,1864,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,1689,1689,12784986,63,62
39,"University of California, Santa Barbara",CA,28096,Suburban,136400,-119.846464,34.41566,http://www.ucsb.edu,(805) 893-8000,Santa Barbara,United States,California,West,1891,CA,Public,Doctoral Universities: Very High Research Activity,18,28096,25004,52399383,60,55
40,"University of Maryland, College Park",MD,44404,Suburban,124500,-76.937269,38.980725,http://www.umd.edu,(301) 405-1000,College Park,United States,Maryland,Northeast,1858,MD,Public,Doctoral Universities: Very High Research Activity,17,44404,32954,28679244,67,53
42,Boston College,MA,16502,Urban,132000,-71.164564,42.326095,http://www.bc.edu,(617) 552-8000,Chestnut Hill,United States,Massachusetts,Northeast,1863,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,14,16502,10748,48015609,56,45
43,"University of Texas, Austin",TX,54243,Urban,127300,-97.827889,30.14628,http://www.utexas.edu,512-475-7348,Austin,United States,Texas,South,1883,TX,Public,Doctoral Universities: Very High Research Activity,17,54243,42419,42050254,66,47
44,Colgate University,NY,3112,Rural,154400,-75.536415,42.821191,http://www.colgate.edu,(315) 228-7000,Hamilton,United States,New York,Northeast,1819,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,3112,3098,16450893,50,42
45,California Institute of Technology,CA,2319,Urban,164600,-118.125942,34.135911,http://www.caltech.edu,(626) 395-6811,Pasadena,United States,California,West,1891,CA,Private not-for-profit,Doctoral Universities: Very High Research Activity,3,2319,967,6455026,74,57
46,Carnegie Mellon University,PA,15567,Urban,152500,-79.943067,40.444639,http://www.cmu.edu,412-268-2082,Pittsburgh,United States,Pennsylvania,Northeast,1900,PA,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,15567,7034,29629565,60,50
47,Claremont McKenna College,CA,1361,Suburban,161700,-117.706769,34.102632,http://www.claremontmckenna.edu,(909) 621-8088,Claremont,United States,California,West,1946,CA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1361,1358,7863809,51,44
48,Bowdoin College,ME,1973,Rural,145600,-69.963975,43.906764,http://www.bowdoin.edu,(207) 725-3000,Brunswick,United States,Maine,Northeast,1794,ME,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1973,1973,12574545,58,52
49,"University of Wisconsin, Madison",WI,47831,Urban,117100,-89.386694,43.07295,http://www.wisc.edu,(608) 263-2400,Madison,United States,Wisconsin,Midwest,1848,WI,Public,Doctoral Universities: Very High Research Activity,16,47831,35038,35532250,58,47
50,Wake Forest University,NC,9266,Urban,135300,-80.27403,36.136824,http://www.wfu.edu,336.758.5201,Winston-Salem,United States,North Carolina,South,1834,NC,Private not-for-profit,Doctoral Universities: High Research Activity,11,9266,5445,22194015,44,34
51,Wesleyan University,CT,3599,Urban,143100,-72.657422,41.556899,http://www.wesleyan.edu,860-685-3000,Middletown,United States,Connecticut,Northeast,1831,CT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,3599,3295,16805707,48,41
52,"Texas A&M University, College Station",TX,73308,Urban,129900,-96.361139,30.55207,http://www.tamu.edu,979-845-3211,College Station,United States,Texas,South,1876,TX,Public,Doctoral Universities: Very High Research Activity,19,73308,56517,68974651,81,64
53,Hamilton College,NY,2085,Suburban,125900,-75.404593,43.050328,http://www.hamilton.edu/index.cfm,(315) 859-4011,Clinton,United States,New York,Northeast,1812,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2085,2085,12642477,61,55
54,Boston University,MA,42047,Urban,134000,-71.098846,42.350173,http://www.bu.edu,617-353-2300,Boston,United States,Massachusetts,Northeast,1839,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,42047,22674,68722830,53,48
55,Middlebury College,VT,4616,Rural,138100,-73.167117,44.014999,http://www.middlebury.edu,802-443-3000,Middlebury,United States,Vermont,Northeast,1800,VT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,4616,3833,12382994,43,41
56,Santa Clara University,CA,9509,Urban,157200,-121.937018,37.351709,http://www.scu.edu,(408) 554-4000,Santa Clara,United States,California,West,1851,CA,Private not-for-profit,Doctoral/Professional Universities,11,9509,5982,24279772,74,69
57,Brigham Young University,UT,39086,Urban,131700,-111.656874,40.250622,http://www.byu.edu,(801) 422-1211,Provo,United States,Utah,West,1875,UT,Private not-for-profit,Doctoral Universities: High Research Activity,21,39086,35850,17270324,71,54
58,Purdue University,IN,49027,Urban,119100,-86.914454,40.429296,http://www.purdue.edu,765-494-1776,West Lafayette,United States,Indiana,Midwest,1869,IN,Public,Doctoral Universities: Very High Research Activity,13,49027,36989,36667214,61,42
59,Washington and Lee University,VA,2269,Rural,152300,-79.443623,37.786248,http://www.wlu.edu,(540) 458-8400,Lexington,United States,Virginia,South,1749,VA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,2269,1865,12997151,67,60
60,New York University,NY,58361,Urban,136900,-73.997189,40.729844,http://www.nyu.edu,(212) 979-8784,New York,United States,New York,Northeast,1831,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,58361,29633,98732499,65,60
61,George Washington University,DC,32209,Urban,139600,-76.973533,38.903034,http://www.gwu.edu,202-994-1000,Washington,United States,District of Columbia,Northeast,1821,DC,Private not-for-profit,Doctoral Universities: Very High Research Activity,13,32209,13980,63297253,72,71
62,Trinity College (CT),CT,2372,Urban,131100,-72.693036,41.750228,http://www.trincoll.edu/Pages/default.aspx,(860) 297-2000,Hartford,United States,Connecticut,Northeast,1823,CT,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2372,2311,14881471,56,51
63,San Diego State University,CA,38336,Urban,114000,-117.071913,32.772283,http://www.sdsu.edu,619-594-5200,San Diego,United States,California,West,1897,CA,Public,Doctoral Universities: High Research Activity,27,38336,33077,23021824,61,47
64,University of Georgia,GA,42941,Urban,113900,-83.393519,33.925215,http://www.uga.edu,(706) 542-3000,Athens,United States,Georgia,South,1785,GA,Public,Doctoral Universities: Very High Research Activity,17,42941,32702,56378523,92,90
65,"Binghamton University, SUNY",NY,19660,Suburban,126900,-75.911271,42.098687,http://www.binghamton.edu,(607) 777-2171,Binghamton,United States,New York,Northeast,1946,NY,Public,Doctoral Universities: Very High Research Activity,19,19660,15293,17163693,76,60
66,"CUNY, Baruch College",NY,22599,Urban,121000,-73.983628,40.740725,http://www.baruch.cuny.edu,646-312-1000,New York,United States,New York,Northeast,1847,NY,Public,Masters Colleges & Universities: Larger Programs,20,22599,18794,19467236,91,91
67,Florida State University,FL,47836,Urban,105400,-84.210779,30.38673,http://www.fsu.edu,850-644-2525,Tallahassee,United States,Florida,South,1851,FL,Public,Doctoral Universities: Very High Research Activity,21,47836,36789,66632849,96,95
68,"University of Minnesota, Twin Cities",MN,63760,Urban,117400,-93.233867,44.97598,http://www.umn.edu,(612) 625-2008,Minneapolis,United States,Minnesota,Midwest,1851,MN,Public,Doctoral Universities: Very High Research Activity,17,63760,46135,40287982,80,45
69,Davidson College,NC,2022,Suburban,134700,-80.84922,35.497841,http://www.davidson.edu,(704) 894-2000,Davidson,United States,North Carolina,South,1837,NC,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2022,2022,14618699,69,66
70,"North Carolina State University, Raleigh",NC,40537,Urban,119700,-78.642669,35.78551,http://www.ncsu.edu,(919) 515-2011,Raleigh,United States,North Carolina,South,1887,NC,Public,Doctoral Universities: Very High Research Activity,14,40537,28869,26722487,68,52
71,Barnard College,NY,2771,Urban,131500,-73.962972,40.809471,http://barnard.edu,(212) 854-5262,New York,United States,New York,Northeast,1889,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2771,2771,11767093,48,40
72,University of Richmond,VA,4534,Urban,123100,-77.539491,37.573622,http://www.richmond.edu,(804) 289-8640,Richmond,United States,Virginia,South,1830,VA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,4534,3672,21595216,66,59
73,Vassar College,NY,2591,Suburban,124800,-73.897898,41.68544,http://www.vassar.edu,(845) 437-7000,Poughkeepsie,United States,New York,Northeast,1861,NY,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,2591,2591,19524983,64,58
74,University of Connecticut,CT,29818,Suburban,117700,-72.250089,41.808457,http://uconn.edu,(860) 486-3137,Storrs,United States,Connecticut,Northeast,1881,CT,Public,Doctoral Universities: Very High Research Activity,16,29818,20501,34234946,77,67
75,New Jersey Institute of Technology,NJ,13619,Urban,137600,-74.18264,40.743752,http://www.njit.edu,973-596-330,Newark,United States,New Jersey,Northeast,1881,NJ,Public,Doctoral Universities: Very High Research Activity,15,13619,10275,18107118,93,86
76,"California State University, Fullerton",CA,46245,Suburban,110400,-117.929104,33.870325,http://www.fullerton.edu,657-278-2011,Fullerton,United States,California,West,1957,CA,Public,Masters Colleges & Universities: Larger Programs,10,46245,40436,32193227,80,75
77,Lafayette College,PA,2701,Suburban,144300,-75.209829,40.691195,http://www.lafayette.edu,(610) 330-5000,Easton,United States,Pennsylvania,Northeast,1826,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2701,2701,16232169,57,53
78,University of Miami (FL),FL,19971,Urban,115300,-80.262949,25.749238,http://www.miami.edu,305-284-2211,Coral Gables,United States,Florida,South,1925,FL,Private not-for-profit,Doctoral Universities: Very High Research Activity,12,19971,12547,55391260,72,68
79,Northeastern University,MA,30003,Urban,120100,-71.08899,42.340252,http://www.northeastern.edu,617.373.2000,Boston,United States,Massachusetts,Northeast,1898,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,14,30003,19769,84882594,82,80
80,"California State University, Long Beach",CA,42378,Urban,112500,-118.122401,33.782235,http://www.csulb.edu,562.985.4111,Long Beach,United States,California,West,1949,CA,Public,Masters Colleges & Universities: Larger Programs,24,42378,35933,34905559,80,75
81,Michigan State University,MI,55406,Urban,112300,-84.47978,42.730519,http://www.msu.edu,517-355-1855,East Lansing,United States,Michigan,Midwest,1855,MI,Public,Doctoral Universities: Very High Research Activity,16,55406,42294,62753112,71,57
83,Southern Methodist University,TX,12963,Suburban,131600,-96.785697,32.844423,http://www.smu.edu,214-768-2000,Dallas,United States,Texas,South,1911,TX,Private not-for-profit,Doctoral Universities: High Research Activity,11,12963,7147,40437904,78,75
84,"University of California, Riverside",CA,27507,Urban,121900,-117.331148,33.975652,http://ucr.edu,(951) 827-1012,Riverside,United States,California,West,1954,CA,Public,Doctoral Universities: Very High Research Activity,22,27507,23848,71748987,91,91
85,Pomona College,CA,1733,Suburban,146400,-117.712684,34.096849,http://www.pomona.edu,(909) 621-8134,Claremont,United States,California,West,1887,CA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,6,1733,1733,12242441,72,66
86,"Stony Brook University, SUNY",NY,34115,Suburban,123800,-73.129583,40.919163,http://www.stonybrook.edu,(631) 632-6000,Stony Brook,United States,New York,Northeast,1957,NY,Public,Doctoral Universities: Very High Research Activity,19,34115,24056,25038352,76,71
87,"University of California, Santa Cruz",CA,20861,Urban,121100,-122.052279,36.977109,http://www.ucsc.edu,(831) 459-0111,Santa Cruz,United States,California,West,1965,CA,Public,Doctoral Universities: Very High Research Activity,25,20861,18761,38780086,67,65
88,University of Utah,UT,38335,Urban,119300,-111.849786,40.765448,http://www.utah.edu,801-581-7200,Salt Lake City,United States,Utah,West,1850,UT,Public,Doctoral Universities: Very High Research Activity,17,38335,29205,30117505,87,80
89,Bucknell University,PA,3868,Rural,151800,-76.883566,40.956816,http://www.bucknell.edu,(570) 577-2000,Lewisburg,United States,Pennsylvania,Northeast,1846,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,3868,3786,17624077,85,51
90,University at Buffalo,NY,35509,Suburban,108600,-78.820489,42.956016,http://www.buffalo.edu,716-645-2000,Buffalo,United States,New York,Northeast,1846,NY,Public,Doctoral Universities: Very High Research Activity,14,35509,24445,28631531,86,83
91,"Indiana University, Bloomington",IN,46441,Urban,110900,-86.516138,39.168482,http://www.indiana.edu,812-855-4848,Bloomington,United States,Indiana,Midwest,1820,IN,Public,Doctoral Universities: Very High Research Activity,16,46441,34790,64116048,80,69
92,Grinnell College,IA,1754,Rural,126200,-92.720673,41.749041,http://www.grinnell.edu,(641) 269-4000,Grinnell,United States,Iowa,Midwest,1846,IA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1754,1754,15378691,88,88
93,Rutgers University,NJ,56178,Urban,128800,-74.453208,40.52537,http://www.rutgers.edu,732-445-4636,New Brunswick,United States,New Jersey,Northeast,1766,NJ,Public,Doctoral Universities: Very High Research Activity,16,56178,40730,47619691,66,48
94,Villanova University,PA,12231,Suburban,135600,-75.348574,40.0358,http://www.villanova.edu,(610) 519-4500,Villanova,United States,Pennsylvania,Northeast,1842,PA,Private not-for-profit,Doctoral Universities: High Research Activity,11,12231,7503,31714953,64,54
95,Bryn Mawr College,PA,1788,Suburban,122600,-75.318703,40.024968,http://www.brynmawr.edu,610-526-5000,Bryn Mawr,United States,Pennsylvania,Northeast,1885,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1788,1444,9460062,72,69
96,Colorado College,CO,2332,Urban,112400,-104.824202,38.84655,http://www.coloradocollege.edu,719-389-6603,Colorado Springs,United States,Colorado,West,1874,CO,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,2332,2298,11961894,53,47
97,University of Rochester,NY,14171,Urban,131900,-77.61986,43.132968,http://www.rochester.edu,(585) 275-2121,Rochester,United States,New York,Northeast,1850,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,14171,8037,47735154,83,82
98,"California Polytechnic State University, San Luis Obispo",CA,22817,Suburban,134700,-120.653076,35.296104,http://calpoly.edu,805-756-1111,San Luis Obispo,United States,California,West,1901,CA,Public,Masters Colleges & Universities: Larger Programs,21,22817,21736,15186095,64,53
99,University of Illinois at Chicago,IL,35210,Urban,114700,-87.632409,41.88415,http://www.uic.edu/uic,312-996-7000,Chicago,United States,Illinois,Midwest,1859,IL,Public,Doctoral Universities: Very High Research Activity,18,35210,23451,45890612,85,79
100,Loyola Marymount University,CA,10629,Urban,133800,-118.42214,33.968304,http://www.lmu.edu,310-338-2700,Los Angeles,United States,California,West,1911,CA,Private not-for-profit,Doctoral Universities: High Research Activity,10,10629,7152,29380620,93,92
101,Bates College,ME,1958,Urban,142200,-70.218354,44.098555,http://bates.edu,207-786-6255,Lewiston,United States,Maine,Northeast,1855,ME,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,1958,1958,9770560,48,41
102,Syracuse University,NY,38868,Urban,119400,-76.147389,43.04999,http://syracuse.edu,315-443-1870,Syracuse,United States,New York,Northeast,1870,NY,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,38868,29745,80616960,88,86
103,"University of Colorado, Boulder",CO,41826,Urban,125400,-105.279239,40.01574,http://www.colorado.edu,303-492-6301,Boulder,United States,Colorado,West,1876,CO,Public,Doctoral Universities: Very High Research Activity,18,41826,34026,37830364,67,54
104,Colby College,ME,2196,Rural,120700,-69.659599,44.560149,http://www.colby.edu,(207) 859-4000,Waterville,United States,Maine,Northeast,1813,ME,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,2196,2196,11481866,43,40
105,Haverford College,PA,1392,Suburban,147400,-75.302845,40.013819,http://www.haverford.edu,610-896-1000,Haverford,United States,Pennsylvania,Northeast,1833,PA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1392,3000,7726501,48,42
106,Lehigh University,PA,7445,Urban,152800,-75.378892,40.607182,http://www4.lehigh.edu/default.aspx,(610) 758-3000,Bethlehem,United States,Pennsylvania,Northeast,1865,PA,Private not-for-profit,Doctoral Universities: High Research Activity,9,7445,5432,30545970,69,51
107,Case Western Reserve University,OH,12298,Urban,135600,-81.60896,41.50603,http://www.case.edu,216.368.2000,Cleveland,United States,Ohio,Midwest,1826,OH,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,12298,5520,40564474,90,88
108,San Jose State University,CA,39442,Urban,124300,-121.880567,37.334371,http://www.sjsu.edu,408-924-1000,San Jose,United States,California,West,1857,CA,Public,Masters Colleges & Universities: Larger Programs,25,39442,29870,22558139,72,65
109,University of San Diego,CA,10181,Urban,126500,-117.184998,32.771734,http://www.sandiego.edu,(619) 260-4600,San Diego,United States,California,West,1949,CA,Private not-for-profit,Doctoral Universities: High Research Activity,13,10181,6327,29932306,82,79
110,Babson College,MA,3987,Suburban,161700,-71.266966,42.3015529,http://www.babson.edu,,Babson Park ,United States,Massachusetts,Northeast,1919,MA,Private not-for-profit,"Special Focus Four-Year: Arts, Music & Design Schools",14,3987,2811,10980319,52,45
111,University of Houston,TX,51217,Urban,115100,-95.369784,29.76045,http://www.uh.edu,713-743-2255,Houston,United States,Texas,South,1927,TX,Public,Doctoral Universities: Very High Research Activity,23,51217,42607,43353505,94,93
112,Brandeis University,MA,6403,Urban,136000,-71.254994,42.365886,http://www.brandeis.edu,781-736-2000,Waltham,United States,Massachusetts,Northeast,1948,MA,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,6403,3985,19437305,72,69
113,Clemson University,SC,28933,Suburban,116100,-82.83889,34.676941,http://www.clemson.edu,864-656-3311,Clemson,United States,South Carolina,South,1889,SC,Public,Doctoral Universities: Very High Research Activity,16,28933,22100,33917026,89,85
114,Harvey Mudd College,CA,1132,Suburban,167800,-117.716404,34.0961,http://www.hmc.edu,(909) 621-8011,Claremont,United States,California,West,1955,CA,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,1132,1132,5928636,71,63
115,Tulane University,LA,14652,Urban,125600,-90.123993,29.935368,http://www.tulane.edu,504 865-5210,New Orleans,United States,Louisiana,South,1834,LA,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,14652,9186,40554223,80,79
116,Louisiana State University,LA,34811,Urban,110900,-91.186994,30.443335,http://www.lsu.edu,225-578-1175,Baton Rouge,United States,Louisiana,South,1853,LA,Public,Doctoral Universities: Very High Research Activity,22,34811,27753,76377830,98,97
117,"University of Tennessee, Knoxville",TN,32056,Urban,103300,-83.920914,35.960495,http://www.utk.edu,865-974-1000,Knoxville,United States,Tennessee,South,1794,TN,Public,Doctoral Universities: Very High Research Activity,17,32056,24949,46654966,91,84
118,University of South Florida,FL,60343,Urban,102800,-82.412955,28.054569,http://www.usf.edu,813-974-2011,Tampa,United States,Florida,South,1956,FL,Public,Doctoral Universities: Very High Research Activity,22,60343,20000,52644051,92,89
119,University of Central Florida,FL,81082,Suburban,99200,-81.359699,28.49394,http://www.ucf.edu,(407) 823-2000,Orlando,United States,Florida,South,1963,FL,Public,Doctoral Universities: Very High Research Activity,11,81082,68814,66237034,94,90
